FID,transect,distance,trans_distance,easting,northing,ecotype,permafrost,frost_top,frost_top_depth_flag,frost_bottom,frost_bottom_depth_flag,frost_thickness,frost_thickness_flag,water_depth,photos,notes
423,8,128,8_128,473949.0058,6789492.924,Lowland Moist Graminoid Sedge Meadow,1,38,,-9999,,-9999,,0,NA,NA
424,8,129,8_129,473948.3763,6789492.147,Lowland Moist Graminoid Sedge Meadow,1,34,,-9999,,-9999,,0,NA,NA
425,8,130,8_130,473947.7469,6789491.37,Lowland Moist Graminoid Sedge Meadow,1,46,,-9999,,-9999,,0,Belos 0753,NA
426,9,0,9_0,473859.8583,6789394.832,Lowland Moist Graminoid Sedge Meadow,1,34,,-9999,,-9999,,0,Belos 0754,NA
427,9,1,9_1,473859.3427,6789393.975,Lowland Moist Graminoid Sedge Meadow,1,33,,-9999,,-9999,,0,NA,NA
428,9,2,9_2,473858.8271,6789393.118,Lowland Moist Graminoid Sedge Meadow,1,33,,-9999,,-9999,,0,NA,NA
429,9,3,9_3,473858.3116,6789392.261,Lowland Moist Graminoid Sedge Meadow,1,58,,-9999,,-9999,,0,NA,NA
430,9,4,9_4,473857.796,6789391.405,Thermokarst Pit,1,68,,88,GT,-9999,,11,NA,NA
431,9,5,9_5,473857.2804,6789390.548,Thermokarst Pit,1,78,,-9999,,-9999,,14,NA,see ELS plot T-T01-V02
432,9,6,9_6,473856.7648,6789389.691,Thermokarst Pit,1,71,,-9999,,-9999,,28,NA,NA
433,9,7,9_7,473856.2492,6789388.834,Thermokarst Pit,1,78,,-9999,,-9999,,20,NA,NA
434,9,8,9_8,473855.7337,6789387.977,Thermokarst Pit,1,100,,-9999,,-9999,,21,NA,NA
435,9,9,9_9,473855.2181,6789387.12,Thermokarst Pit,1,72,,-9999,,-9999,,22,NA,NA
436,9,10,9_10,473854.7025,6789386.264,Thermokarst Pit,1,79,,-9999,,-9999,,7,NA,NA
437,9,11,9_11,473854.1869,6789385.407,Thermokarst Pit,1,72,,-9999,,-9999,,0,NA,edge of isolated pit
438,9,12,9_12,473853.6713,6789384.55,Lowland Moist Graminoid Sedge Meadow,1,42,,-9999,,-9999,,0,NA,NA
439,9,13,9_13,473853.1557,6789383.693,Lowland Moist Graminoid Sedge Meadow,1,36,,-9999,,-9999,,0,NA,NA
440,9,14,9_14,473852.6402,6789382.836,Lowland Moist Graminoid Sedge Meadow,1,36,,-9999,,-9999,,0,NA,NA
441,9,15,9_15,473852.1246,6789381.979,Lowland Moist Graminoid Sedge Meadow,1,29,,-9999,,-9999,,0,NA,NA
442,9,16,9_16,473851.609,6789381.123,Lowland Moist Graminoid Sedge Meadow,1,32,,-9999,,-9999,,0,NA,NA
443,9,17,9_17,473851.0934,6789380.266,Lowland Moist Graminoid Sedge Meadow,1,40,,-9999,,-9999,,0,NA,NA
444,9,18,9_18,473850.5778,6789379.409,Lowland Moist Graminoid Sedge Meadow,1,43,,-9999,,-9999,,0,NA,NA
445,9,19,9_19,473850.0623,6789378.552,Lowland Moist Graminoid Sedge Meadow,1,32,,-9999,,-9999,,0,NA,NA
446,9,20,9_20,473849.5467,6789377.695,Lowland Moist Graminoid Sedge Meadow,1,40,,-9999,,-9999,,0,NA,NA
447,9,21,9_21,473849.0311,6789376.838,Lowland Moist Graminoid Sedge Meadow,1,22,,-9999,,-9999,,0,NA,NA
448,9,22,9_22,473848.5155,6789375.982,Lowland Moist Graminoid Sedge Meadow,1,37,,-9999,,-9999,,0,NA,NA
449,9,23,9_23,473847.9999,6789375.125,Lowland Moist Graminoid Sedge Meadow,1,33,,-9999,,-9999,,0,NA,NA
450,9,24,9_24,473847.4844,6789374.268,Lowland Moist Graminoid Sedge Meadow,1,36,,-9999,,-9999,,0,NA,NA
451,9,25,9_25,473846.9688,6789373.411,Lowland Moist Graminoid Sedge Meadow,1,31,,-9999,,-9999,,0,Belos 0764-0765,NA
452,9,26,9_26,473846.4532,6789372.554,Lowland Moist Graminoid Sedge Meadow,1,35,,-9999,,-9999,,0,NA,NA
453,9,27,9_27,473845.9376,6789371.697,Lowland Moist Graminoid Sedge Meadow,1,34,,-9999,,-9999,,0,NA,NA
454,9,28,9_28,473845.422,6789370.84,Lowland Moist Graminoid Sedge Meadow,1,36,,-9999,,-9999,,0,NA,see also ELS plot T-T01-V01
455,9,29,9_29,473844.9065,6789369.984,Lowland Moist Graminoid Sedge Meadow,1,45,,-9999,,-9999,,0,NA,NA
456,9,30,9_30,473844.3909,6789369.127,Lowland Moist Graminoid Sedge Meadow,1,38,,-9999,,-9999,,0,NA,NA
457,9,31,9_31,473843.8753,6789368.27,Lowland Moist Graminoid Sedge Meadow,1,43,,-9999,,-9999,,0,NA,NA
458,9,32,9_32,473843.3597,6789367.413,Lowland Moist Graminoid Sedge Meadow,1,47,,-9999,,-9999,,0,NA,NA
459,9,33,9_33,473842.8441,6789366.556,Lowland Moist Graminoid Sedge Meadow,1,38,,-9999,,-9999,,0,NA,NA
460,9,34,9_34,473842.3285,6789365.699,Lowland Moist Graminoid Sedge Meadow,1,39,,-9999,,-9999,,0,NA,NA
461,9,35,9_35,473841.813,6789364.843,Lowland Moist Graminoid Sedge Meadow,1,45,,-9999,,-9999,,0,NA,NA
462,9,36,9_36,473841.2974,6789363.986,Lowland Moist Graminoid Sedge Meadow,1,38,,-9999,,-9999,,0,NA,NA
463,9,37,9_37,473840.7818,6789363.129,Lowland Moist Graminoid Sedge Meadow,1,33,,-9999,,-9999,,0,NA,NA
464,9,38,9_38,473840.2662,6789362.272,Lowland Moist Graminoid Sedge Meadow,1,40,,-9999,,-9999,,0,NA,NA
465,9,39,9_39,473839.7506,6789361.415,Lowland Moist Graminoid Sedge Meadow,1,35,,-9999,,-9999,,0,NA,NA
466,9,40,9_40,473839.2351,6789360.558,Lowland Moist Graminoid Sedge Meadow,1,40,,-9999,,-9999,,0,NA,NA
467,9,41,9_41,473838.7195,6789359.702,Lowland Moist Graminoid Sedge Meadow,1,41,,-9999,,-9999,,0,NA,NA
468,9,42,9_42,473838.2039,6789358.845,Lowland Moist Graminoid Sedge Meadow,1,37,,-9999,,-9999,,0,NA,NA
469,9,43,9_43,473837.6883,6789357.988,Lowland Moist Graminoid Sedge Meadow,1,33,,-9999,,-9999,,0,NA,NA
470,9,44,9_44,473837.1727,6789357.131,Lowland Moist Graminoid Sedge Meadow,1,31,,-9999,,-9999,,0,NA,NA
471,9,45,9_45,473836.6572,6789356.274,Lowland Moist Graminoid Sedge Meadow,1,44,,-9999,,-9999,,0,NA,NA
472,9,46,9_46,473836.1416,6789355.417,Lowland Moist Graminoid Sedge Meadow,1,52,,-9999,,-9999,,0,NA,NA
473,9,47,9_47,473835.626,6789354.56,Lowland Moist Graminoid Sedge Meadow,1,49,,-9999,,-9999,,0,NA,NA
474,9,48,9_48,473835.1104,6789353.704,Lowland Moist Graminoid Sedge Meadow,1,32,,-9999,,-9999,,0,NA,NA
475,9,49,9_49,473834.5948,6789352.847,Lowland Moist Graminoid Sedge Meadow,1,42,,-9999,,-9999,,0,NA,NA
476,9,50,9_50,473834.0792,6789351.99,Lowland Moist Graminoid Sedge Meadow,1,36,,-9999,,-9999,,0,Belos 0762-0763,NA
477,9,51,9_51,473833.5637,6789351.133,Lowland Moist Graminoid Sedge Meadow,1,38,,-9999,,-9999,,0,NA,NA
478,9,52,9_52,473833.0481,6789350.276,Lowland Moist Graminoid Sedge Meadow,1,35,,-9999,,-9999,,0,NA,NA
479,9,53,9_53,473832.5325,6789349.419,Lowland Moist Graminoid Sedge Meadow,1,55,,-9999,,-9999,,0,NA,"Edge plateau, connected gully depression"
480,9,54,9_54,473832.0169,6789348.563,Rackline,1,87,,92,GT,-9999,,0,Belos 0761,Driftwood
481,9,55,9_55,473831.5013,6789347.706,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
482,9,56,9_56,473830.9858,6789346.849,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
483,9,57,9_57,473830.4702,6789345.992,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
484,9,58,9_58,473829.9546,6789345.135,Lowland Moist Graminoid Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
485,9,59,9_59,473829.439,6789344.278,Lowland Wet Sedge Meadow,1,90,,97,,-9999,,0,NA,NA
486,9,60,9_60,473828.9234,6789343.422,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
487,9,61,9_61,473828.4079,6789342.565,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
488,9,62,9_62,473827.8923,6789341.708,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
489,9,63,9_63,473827.3767,6789340.851,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
490,9,64,9_64,473826.8611,6789339.994,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
491,9,65,9_65,473826.3455,6789339.137,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,NA,NA
492,9,66,9_66,473825.83,6789338.281,Lowland Wet Sedge Meadow,0,125,GT,-9999,,-9999,,0,Belos 0760,NA
